100 100
2 36 100
3 90 100
3 62 100
2 78 0
3 63 100
2 2 100
3 8 100
1 71 100
1 16 100
2 76 100
1 23 100
1 19 100
3 31 100
1 15 100
2 26 100
3 13 100
2 15 100
2 22 100
3 56 100
3 28 100
3 43 100
1 93 100
1 100 100
2 32 100
2 26 100
2 32 100
2 83 0
3 83 0
1 53 100
2 43 100
3 17 100
1 44 100
3 59 0
2 78 -1
3 74 100
2 91 100
3 28 100
2 56 100
1 47 100
2 26 100
2 4 100
3 16 100
2 50 0
1 47 100
2 79 100
1 98 100
1 69 100
2 64 100
1 34 100
3 2 100
3 24 100
3 85 -1
3 6 100
2 18 100
3 85 100
3 65 100
3 6 100
2 48 100
1 78 100
3 63 100
1 8 100
3 56 100
2 86 100
2 94 100
2 50 100
2 51 100
3 83 100
3 72 100
1 66 0
1 25 100
2 73 100
1 41 100
3 44 100
3 67 100
1 48 100
2 94 100
3 85 100
2 39 0
3 52 100
2 3 100
2 20 100
1 28 100
2 74 100
1 16 100
3 8 -1
1 68 100
2 58 -1
3 90 100
2 42 100
3 26 100
3 67 100
3 31 100
1 92 100
3 52 100
2 87 100
1 85 100
3 96 100
2 91 -1
3 73 100
1 40 100
